tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,shape_high,shape_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
T,B,C,T_B_C.png,training,1,1,6,medium,shape,tail,color,C,S,N,T,L2,I2,H1,B,Y,9,6_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
T,Y,S,T_Y_S.png,training,1,2,1,low,shape,tail,color,C,S,N,T,L2,I1,L1,B,Y,9,1_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
N,Y,S,N_Y_S.png,training,1,3,4,medium,shape,tail,color,C,S,N,T,H2,I1,L1,B,Y,9,4_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
N,B,C,N_B_C.png,training,1,4,6,high,shape,tail,color,C,S,N,T,H2,I2,H1,B,Y,9,6_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
N,Y,C,N_Y_C.png,training,1,5,6,high,shape,tail,color,C,S,N,T,H2,I1,H1,B,Y,9,6_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
T,Y,C,T_Y_C.png,training,1,6,4,medium,shape,tail,color,C,S,N,T,L2,I1,H1,B,Y,9,4_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
N,B,S,N_B_S.png,training,1,7,3,medium,shape,tail,color,C,S,N,T,H2,I2,L1,B,Y,9,3_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
T,B,S,T_B_S.png,training,1,8,5,low,shape,tail,color,C,S,N,T,L2,I2,L1,B,Y,9,5_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
T,Y,C,T_Y_C.png,training,2,9,5,medium,shape,tail,color,C,S,N,T,L2,I1,H1,B,Y,9,5_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
T,Y,S,T_Y_S.png,training,2,10,3,low,shape,tail,color,C,S,N,T,L2,I1,L1,B,Y,9,3_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
N,B,C,N_B_C.png,training,2,11,7,high,shape,tail,color,C,S,N,T,H2,I2,H1,B,Y,9,7_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
T,B,C,T_B_C.png,training,2,12,6,medium,shape,tail,color,C,S,N,T,L2,I2,H1,B,Y,9,6_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
N,B,S,N_B_S.png,training,2,13,7,medium,shape,tail,color,C,S,N,T,H2,I2,L1,B,Y,9,7_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
N,Y,S,N_Y_S.png,training,2,14,8,medium,shape,tail,color,C,S,N,T,H2,I1,L1,B,Y,9,8_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
T,B,S,T_B_S.png,training,2,15,4,low,shape,tail,color,C,S,N,T,L2,I2,L1,B,Y,9,4_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
N,Y,C,N_Y_C.png,training,2,16,5,high,shape,tail,color,C,S,N,T,H2,I1,H1,B,Y,9,5_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
T,Y,C,T_Y_C.png,training,3,17,6,medium,shape,tail,color,C,S,N,T,L2,I1,H1,B,Y,9,6_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
T,B,S,T_B_S.png,training,3,18,2,low,shape,tail,color,C,S,N,T,L2,I2,L1,B,Y,9,2_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
N,B,C,N_B_C.png,training,3,19,6,high,shape,tail,color,C,S,N,T,H2,I2,H1,B,Y,9,6_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
N,B,S,N_B_S.png,training,3,20,6,medium,shape,tail,color,C,S,N,T,H2,I2,L1,B,Y,9,6_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
T,B,C,T_B_C.png,training,3,21,4,medium,shape,tail,color,C,S,N,T,L2,I2,H1,B,Y,9,4_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
N,Y,S,N_Y_S.png,training,3,22,4,medium,shape,tail,color,C,S,N,T,H2,I1,L1,B,Y,9,4_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
T,Y,S,T_Y_S.png,training,3,23,4,low,shape,tail,color,C,S,N,T,L2,I1,L1,B,Y,9,4_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
N,Y,C,N_Y_C.png,training,3,24,8,high,shape,tail,color,C,S,N,T,H2,I1,H1,B,Y,9,8_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,medium,medium,high,low,medium,medium,low"
